start,end
67011,67049
67049,67098
67098,67169
67169,67203
67203,68084
68084,68177
68177,68293
68293,68653
68653,68698
68698,68738
68738,68783
68783,68873
68873,69021
69021,69171
69171,69214
69214,69285
69285,69319
69319,69421
69421,69498
69498,69533
69533,69575
69575,69868
69868,70080
70080,70150
70150,70248
70248,70366
70366,70414
70414,70476
70476,70516
70516,70565
70565,70645
70645,71421
71421,71462
71462,71503
71503,71552
71552,71589
71589,71636
71636,71712
71712,71819
71819,72003
72003,72590
72590,72635
72635,72684
72684,72748
72748,72951
72951,72985
72985,73112
73112,73342
73342,73425
73425,73481
73481,73527
73527,73578
73578,73619
73619,73716
73716,73810
73810,73844
73844,73896
73896,73942
73942,74029
74029,74113
74113,74176
74176,74220
74220,74294
74294,74334
74334,74383
74383,74741
74741,74780
74780,74846
74846,75550
75550,75616
75616,75759
75759,75802
75802,75874
75874,76074
76074,76138
76138,76239
76239,76442
76442,76541
76541,76718
76718,76753
76753,76810
76810,76893
76893,76944
76944,77016
77016,77065
77065,77117
77117,77150
77150,77428
77428,77492
77492,77540
77540,77671
77671,77708
77708,77746
77746,77801
77801,77901
77901,77945
77945,78607
78607,78646
78646,78679
78679,79265
79265,79325
79325,79384
79384,79428
79428,79506
79506,79601
79601,79642
79642,79826
79826,79859
79859,79981
79981,80085
80085,80148
80148,80181
80181,80220
80220,80263
80263,80337
80337,80402
80402,80437
80437,80482
80482,80525
80525,80700
80700,80947
80947,81029
81029,81103
81103,81176
81176,81498
81498,81935
81935,81992
81992,82036
82036,82097
82097,82135
82135,82185
82185,82231
82231,82321
82321,82401
82401,82457
82457,82730
82730,82768
82768,82933
82933,83114
83114,83151
83151,83255
83255,83290
83290,83370
83370,83439
83439,83493
83493,83531
83531,84652
84652,84702
84702,84779
84779,84834
84834,84867
84867,84945
84945,84989
84989,85097
85097,85391
85391,85424
85424,85478
85478,85536
85536,85589
85589,85665
85665,85718
85718,85968
85968,86002
86002,86043
86043,86116
86116,86153
86153,86915
86915,86989
86989,87051
87051,87140
87140,87187
